Task,Metric,ViewingCondition,FriedmanChi2,FriedmanP,Difficulty,W,p-value,difference_median
denoising,percentage_look_time,EGOCENTRIC,1.0,0.6065306597126334,,,,
denoising,percentage_look_time,EXOCENTRIC,2.3333333333333144,0.3114032239146006,,,,
seperating,percentage_look_time,EGOCENTRIC,14.777777777777771,0.0006180823302632889,EASY-MEDIUM,13.0,0.00067138671875,-0.0889236435186152
seperating,percentage_look_time,EGOCENTRIC,14.777777777777771,0.0006180823302632889,EASY-HARD,6.0,0.0001068115234375,-0.16583245349741293
seperating,percentage_look_time,EGOCENTRIC,14.777777777777771,0.0006180823302632889,MEDIUM-HARD,45.0,0.08142852783203125,-0.08227868637474095
seperating,percentage_look_time,EXOCENTRIC,4.111111111111086,0.12802169265485444,,,,
