TIMESTAMP,UserID,TaskID,DistanceToA,ViewingAngleA,DistanceToB,ViewingAngleB,UserPositionX,UserPositionY,UserPositionZ
138.9368,1,1,7.022467,2.582629,0,0,0,0,0
139.4368,1,1,7.022467,2.582629,0,0,0,0,0
139.9369,1,1,7.022467,2.582629,0,0,0,0,0
140.4369,1,1,7.022467,2.582629,0,0,0,0,0
140.9535,1,1,7.022467,2.582629,0,0,0,0,0
141.4535,1,1,7.022467,2.582629,0,0,0,0,0
141.9535,1,1,7.022467,2.582629,0,0,0,0,0
142.4535,1,1,7.022467,2.582629,0,0,0,0,0
142.9535,1,1,6.999906,2.88907,0,0,0,0,0
143.4702,1,1,6.93292,3.59902,0,0,0,0,0
143.9868,1,1,6.333649,5.069564,0,0,0,0,0
144.4869,1,1,5.887117,0.3615361,0,0,0,0,0
144.9869,1,1,5.868949,0.4073442,0,0,0,0,0
145.5035,1,1,6.096521,0.7300779,0,0,0,0,0
146.0035,1,1,6.070327,0.8490367,0,0,0,0,0
146.5035,1,1,5.919472,0.9074132,0,0,0,0,0
147.0202,1,1,5.932826,1.643658,0,0,0,0,0
147.5369,1,1,5.905974,0.1519511,0,0,0,0,0
148.0369,1,1,5.910418,-0.690405,0,0,0,0,0
148.5369,1,1,5.910418,-0.690405,0,0,0,0,0
149.0535,1,1,5.910418,-0.690405,0,0,0,0,0
149.5535,1,1,5.910418,-0.690405,0,0,0,0,0
150.0535,1,1,5.910418,-0.690405,0,0,0,0,0
150.5702,1,1,5.910418,-0.690405,0,0,0,0,0
151.0702,1,1,5.910418,-0.690405,0,0,0,0,0
151.5702,1,1,5.910418,-0.690405,0,0,0,0,0
152.0868,1,1,5.910418,-0.690405,0,0,0,0,0
152.5869,1,1,5.910418,-0.690405,0,0,0,0,0
153.1035,1,1,5.910418,-0.690405,0,0,0,0,0
153.6035,1,1,5.910418,-0.690405,0,0,0,0,0
154.1036,1,1,5.785462,-0.7052664,0,0,0,0,0
154.6202,1,1,5.286038,-0.7720242,0,0,0,0,0
155.1368,1,1,4.512016,-0.9048218,0,0,0,0,0
155.6369,1,1,3.76325,-1.085524,0,0,0,0,0
156.1535,1,1,2.990181,-1.367735,0,0,0,0,0
156.6535,1,1,2.66634,-1.535059,0,0,0,0,0
157.1535,1,1,2.41738,-1.694544,0,0,0,0,0
157.6536,1,1,2.41738,-1.694544,0,0,0,0,0
158.1702,1,1,2.940239,-1.391142,0,0,0,0,0
158.6702,1,1,3.688275,-1.107652,0,0,0,0,0
159.1702,1,1,4.337122,-0.9414921,0,0,0,0,0
159.6703,1,1,4.337122,-0.9414921,0,0,0,0,0
160.1869,1,1,4.353056,4.999712,0,0,0,0,0
160.6869,1,1,4.371753,7.287043,0,0,0,0,0
161.2036,1,1,4.371753,7.287043,0,0,0,0,0
161.7036,1,1,4.33778,1.372591,0,0,0,0,0
162.2036,1,1,4.340976,-2.594501,0,0,0,0,0
162.7036,1,1,4.343569,-2.594501,0,0,0,0,0
163.2036,1,1,4.355549,-2.594501,0,0,0,0,0
163.7036,1,1,4.335021,-2.594501,0,0,0,0,0
164.2036,1,1,4.399868,-2.594501,0,0,0,0,0
164.7202,1,1,4.422954,-2.594501,0,0,0,0,0
165.2202,1,1,4.376695,-2.594501,0,0,0,0,0
165.7369,1,1,4.336115,-2.594501,0,0,0,0,0
166.2369,1,1,4.340723,-2.594501,0,0,0,0,0
166.7369,1,1,4.360692,-2.594501,0,0,0,0,0
167.2369,1,1,4.383098,-2.594501,0,0,0,0,0
167.7535,1,1,4.453903,-2.594501,0,0,0,0,0
168.2536,1,1,4.490706,-2.594501,0,0,0,0,0
168.7536,1,1,4.517838,-2.594501,0,0,0,0,0
169.2537,1,1,4.547008,-2.594501,0,0,0,0,0
169.7702,1,1,4.547008,-2.594501,0,0,0,0,0
170.2702,1,1,4.547008,-2.594501,0,0,0,0,0
170.7702,1,1,4.547008,-2.594501,0,0,0,0,0
171.2869,1,1,4.547008,-2.594501,0,0,0,0,0
171.7869,1,1,4.547008,-2.594501,0,0,0,0,0
172.2869,1,1,4.547008,-2.594501,0,0,0,0,0
172.7869,1,1,4.547008,-2.594501,0,0,0,0,0
173.2869,1,1,4.547008,-2.594501,0,0,0,0,0
173.7869,1,1,4.547008,-2.594501,0,0,0,0,0
174.3036,1,1,4.547008,-2.594501,0,0,0,0,0
174.8203,1,1,4.575207,-2.454075,0,0,0,0,0
175.3368,1,1,4.575207,-2.454075,0,0,0,0,0
175.8369,1,1,4.575207,-2.454075,0,0,0,0,0
176.3369,1,1,4.575207,-2.454075,0,0,0,0,0
176.8369,1,1,4.575207,-2.454075,0,0,0,0,0
177.337,1,1,4.575207,-2.454075,0,0,0,0,0
177.8536,1,1,4.575207,-2.454075,0,0,0,0,0
178.3703,1,1,4.575207,-2.454075,0,0,0,0,0
178.8869,1,1,4.575207,-2.454075,0,0,0,0,0
179.3869,1,1,4.575207,-2.454075,0,0,0,0,0
179.8869,1,1,4.575207,-2.454075,0,0,0,0,0
180.3869,1,1,4.575207,-2.454075,0,0,0,0,0
180.9036,1,1,4.575207,-2.454075,0,0,0,0,0
181.4203,1,1,4.575207,-2.454075,0,0,0,0,0
181.9369,1,1,4.575207,-2.454075,0,0,0,0,0
182.4369,1,1,4.575207,-2.454075,0,0,0,0,0
182.9535,1,1,4.575207,-2.454075,0,0,0,0,0
183.4536,1,1,4.575207,-2.454075,0,0,0,0,0
183.9536,1,1,4.575207,-2.454075,0,0,0,0,0
184.4702,1,1,4.575207,-2.454075,0,0,0,0,0
184.9869,1,1,4.575207,-2.454075,0,0,0,0,0
185.4869,1,1,4.575207,-2.454075,0,0,0,0,0
186.0036,1,1,4.575207,-2.454075,0,0,0,0,0
186.5202,1,1,4.575207,-2.454075,0,0,0,0,0
187.0202,1,1,4.575207,-2.454075,0,0,0,0,0
187.5369,1,1,4.575207,-2.454075,0,0,0,0,0
188.0369,1,1,4.575207,-2.454075,0,0,0,0,0
188.5369,1,1,4.575207,-2.454075,0,0,0,0,0
189.0369,1,1,4.575207,-2.454075,0,0,0,0,0
189.5369,1,1,4.575207,-2.454075,0,0,0,0,0
190.0369,1,1,4.575207,-2.454075,0,0,0,0,0
190.5369,1,1,4.575207,-2.454075,0,0,0,0,0
191.0536,1,1,4.575207,-2.454075,0,0,0,0,0
191.5536,1,1,4.575207,-2.454075,0,0,0,0,0
192.0536,1,1,4.575207,-2.454075,0,0,0,0,0
192.5703,1,1,4.584293,-1.212407,0,0,0,0,0
193.0869,1,1,4.601752,-0.5723243,0,0,0,0,0
193.6035,1,1,4.630458,-5.299199,0,0,0,0,0
194.1036,1,1,4.827374,-7.54145,0,0,0,0,0
194.6036,1,1,5.272386,-7.823833,0,0,0,0,0
195.1036,1,1,5.666099,-2.163561,0,0,0,0,0
195.6036,1,1,5.655655,-2.034709,0,0,0,0,0
196.1036,1,1,5.655655,-2.034709,0,0,0,0,0
196.6036,1,1,5.795229,-2.051568,0,0,0,0,0
197.1036,1,1,5.295765,-2.227389,0,0,0,0,0
197.6036,1,1,4.599257,-1.69096,0,0,0,0,0
198.1202,1,1,4.717683,-1.558716,0,0,0,0,0
198.6203,1,1,4.717683,-1.558716,0,0,0,0,0
199.1203,1,1,4.717683,-1.558716,0,0,0,0,0
199.6203,1,1,4.717683,-1.558716,0,0,0,0,0
200.1204,1,1,4.717683,-1.558716,0,0,0,0,0
200.6369,1,1,4.717683,-1.558716,0,0,0,0,0
201.1369,1,1,4.717683,-1.558716,0,0,0,0,0
201.6369,1,1,5.018085,-1.450099,0,0,0,0,0
202.1536,1,1,5.745238,-1.243483,0,0,0,0,0
202.6536,1,1,6.459541,-1.092711,0,0,0,0,0
203.1702,1,1,7.205232,-0.9711614,0,0,0,0,0
203.6703,1,1,7.93231,-0.8767033,0,0,0,0,0
204.1869,1,1,8.687667,-0.796476,0,0,0,0,0
204.6869,1,1,9.421682,-0.7319516,0,0,0,0,0
205.187,1,1,9.593385,-0.7184606,0,0,0,0,0
205.7036,1,1,9.593385,-0.7184606,0,0,0,0,0
